x plastic strain,x true stress,y plastic strain,y true stress
0.00E+00,0,0.00E+00,0
4.72E-05,0.00602,1.07E-04,-0.25761
4.65E-05,0.16437,1.04E-04,0.62305
4.69E-05,0.22325,1.03E-04,-0.50786
4.69E-05,0.22615,9.84E-05,0.44111
4.68E-05,0.24243,9.31E-05,-0.00357
4.75E-05,0.05866,8.57E-05,0.06853
4.71E-05,0.13939,8.06E-05,0.46186
4.57E-05,0.4862,7.63E-05,-0.37726
4.56E-05,0.47772,7.11E-05,0.71902
4.72E-05,0.05866,7.07E-05,-0.23417
4.65E-05,0.17552,6.85E-05,0.44913
4.53E-05,0.463,6.92E-05,0.22568
4.54E-05,0.44115,6.95E-05,-0.12568
4.63E-05,0.1521,6.80E-05,0.87862
4.63E-05,0.13181,6.99E-05,-0.08304
4.57E-05,0.30711,6.76E-05,0.96211
4.59E-05,0.32495,6.96E-05,0.06474
4.63E-05,0.26986,6.86E-05,0.50695
4.60E-05,0.29975,6.79E-05,0.68843
4.65E-05,0.11597,6.89E-05,0.04844
4.64E-05,0.17664,6.72E-05,1.00207
4.52E-05,0.4552,6.98E-05,-0.08817
4.55E-05,0.41015,6.76E-05,0.77192
4.69E-05,0.05375,6.86E-05,0.29845
4.70E-05,0.03747,6.85E-05,0.37056
4.54E-05,0.45029,6.79E-05,0.96635
4.53E-05,0.47148,6.98E-05,0.06161
4.59E-05,0.13627,6.81E-05,1.42821
4.59E-05,0.07025,7.00E-05,0.60472
4.50E-05,0.30666,6.87E-05,1.17596
4.44E-05,0.4494,5.94E-05,1.16836
4.39E-05,0.47705,4.26E-05,0.74891
4.40E-05,0.48152,2.60E-05,1.7632
4.57E-05,0.37558,1.65E-05,0.80625
4.69E-05,0.32138,8.40E-06,1.84553
4.65E-05,0.61087,6.41E-06,1.18638
4.76E-05,0.62448,1.56E-06,1.22075
4.95E-05,0.30064,-1.18E-06,1.51405
5.04E-05,0.24288,-2.04E-06,0.4933
4.86E-05,0.88386,-5.03E-06,1.73502
4.69E-05,2.8724,-3.15E-06,0.74932
4.78E-05,2.84497,-5.27E-06,1.65868
4.71E-05,3.01157,-3.19E-06,1.66739
4.66E-05,3.08272,-3.44E-06,1.65556
4.68E-05,3.09632,-4.74E-06,1.84506
4.77E-05,2.83895,-3.04E-06,0.54196
4.73E-05,3.09342,-5.70E-06,1.7464
4.74E-05,3.1871,-3.10E-06,1.06673
4.70E-05,3.68424,-4.07E-06,1.9002
4.56E-05,3.7527,-2.93E-06,1.85288
4.56E-05,3.38961,-1.70E-06,1.31829
4.66E-05,3.09677,-3.22E-06,2.30399
4.68E-05,3.2404,-1.29E-06,1.35534
4.51E-05,4.0199,-4.09E-06,2.46761
4.49E-05,4.19029,-2.33E-06,1.55712
4.69E-05,3.82296,-3.63E-06,1.67007
